;labour;labour_efficiency;capital_intensity;production;capital;output_per_worker
0;1.0;1.0;8.0;9.646462621526085;77.17170097220868;9.646462621526085
1;1.010050167084168;1.0202013400267558;7.827751196172249;9.707182147114613;75.98540666353831;9.610594070923716
2;1.0202013400267556;1.0408107741923882;7.66044733408118;9.770002432393317;74.84258908719403;9.576543422435705
3;1.0304545339535165;1.0618365465453596;7.497946453676936;9.834983781623812;73.74218176739645;9.544316083398849
4;1.0408107741923878;1.0832870676749586;7.340110670317789;9.902188299139695;72.68315799401124;9.51391794231113
5;1.0512710963760235;1.1051709180756477;7.186806057772781;9.971679944675243;71.66452983256339;9.485355375078749
6;1.061836546545359;1.1274968515793757;7.037902534583131;10.043524590423628;70.68534717109046;9.458635251442246
7;1.0725081812542157;1.1502737988572274;6.8932737536860085;10.117790079877649;69.74469680292526;9.433764941583638
8;1.0832870676749575;1.1735108709918103;6.752796995206984;10.194546288507597;68.84170154453261;9.410752322916581
9;1.0941742837052093;1.1972173631218102;6.616353062330229;10.273865186332353;67.975519387558;9.389605787061544
10;1.1051709180756464;1.2214027581601699;6.483826180158069;10.355820902441428;67.14534268427789;9.370334247007932
11;1.11627807045887;1.2460767305873808;6.355103897474105;10.440489791527387;66.35039736567431;9.352947144465178
12;1.1274968515793742;1.2712491503214045;6.2300769913265235;10.527950502489684;65.58994219138549;9.337454457404782
13;1.1388283833246202;1.2969300866657716;6.108639374350642;10.618284049172814;64.86326803081643;9.323866707795338
14;1.1502737988572256;1.3231298123374367;5.990688004752059;10.711573883303345;64.16969717472078;9.312194969532543
15;1.1618342427282813;1.3498588075760027;5.876122798874009;10.807905969692381;63.50858267659591;9.302450876566246
16;1.1735108709918083;1.3771277643359567;5.764846546274756;10.907368863771834;62.87930772325986;9.294646631226627
17;1.1853048513203635;1.4049475905635933;5.656764827242944;11.010053791534853;62.281285034007176;9.288795012751587
18;1.197217363121808;1.4333294145603397;5.551785932680946;11.116054731952808;61.713956287767054;9.28490938601751
19;1.209249597657249;1.4622845894342238;5.449820786288192;11.225468501943322;61.176791577714084;9.28300371047556
